iter	Passed	Remaining
0	164	164686
1	172	86298
2	178	59412
3	184	45973
4	190	37935
5	196	32508
6	201	28651
7	207	25778
8	212	23386
9	217	21492
10	221	19958
11	228	18777
12	233	17747
13	239	16892
14	245	16118
15	250	15434
16	257	14868
17	264	14431
18	274	14174
19	280	13742
20	286	13354
21	292	12999
22	297	12653
23	303	12345
24	309	12065
25	316	11864
26	322	11610
27	331	11495
28	339	11365
29	344	11154
30	350	10962
31	356	10784
32	363	10649
33	371	10544
34	378	10440
35	384	10301
36	392	10203
37	402	10182
38	409	10095
39	416	10003
40	427	9991
41	440	10043
42	449	10006
43	454	9874
44	459	9742
45	467	9686
46	471	9564
47	480	9524
48	486	9433
49	496	9439
50	504	9393
51	513	9358
52	519	9276
53	525	9209
54	532	9147
55	538	9073
56	546	9040
57	555	9016
58	601	9586
59	612	9601
60	627	9654
61	635	9613
62	678	10096
63	684	10006
64	696	10013
65	704	9975
66	713	9940
67	720	9880
68	725	9787
69	729	9696
70	734	9611
71	738	9523
72	743	9437
73	747	9353
74	752	9275
75	756	9196
76	760	9122
77	765	9047
78	769	8976
79	774	8907
80	779	8841
81	783	8773
82	788	8708
83	792	8645
84	797	8582
85	801	8522
86	806	8464
87	811	8405
88	815	8347
89	820	8291
90	827	8266
91	831	8211
92	836	8157
93	840	8103
94	845	8052
95	849	8003
96	854	7954
97	857	7896
98	862	7849
99	867	7803
100	871	7754
101	875	7709
102	880	7667
103	885	7625
104	889	7583
105	894	7541
106	898	7500
107	903	7462
108	907	7419
109	911	7376
110	915	7333
111	919	7292
112	923	7250
113	927	7208
114	931	7168
115	935	7128
116	939	7089
117	943	7050
118	947	7012
119	951	6976
120	955	6938
121	959	6903
122	964	6874
123	968	6840
124	972	6805
125	976	6772
126	980	6739
127	984	6705
128	988	6672
129	992	6639
130	995	6605
131	999	6573
132	1003	6541
133	1007	6510
134	1011	6479
135	1014	6447
136	1018	6417
137	1022	6387
138	1026	6357
139	1030	6328
140	1033	6298
141	1037	6271
142	1046	6269
143	1053	6260
144	1061	6261
145	1066	6238
146	1072	6221
147	1080	6221
148	1086	6204
149	1095	6205
150	1102	6196
151	1111	6198
152	1116	6181
153	1123	6174
154	1129	6158
155	1135	6142
156	1143	6141
157	1148	6118
158	1152	6095
159	1158	6083
160	1163	6060
161	1167	6038
162	1172	6022
163	1178	6007
164	1183	5987
165	1188	5969
166	1193	5952
167	1197	5932
168	1203	5915
169	1208	5902
170	1213	5882
171	1217	5862
172	1225	5860
173	1230	5839
174	1234	5818
175	1240	5807
176	1244	5788
177	1249	5769
178	1255	5760
179	1260	5741
180	1264	5723
181	1271	5713
182	1275	5695
183	1280	5676
184	1285	5662
185	1290	5646
186	1294	5628
187	1299	5611
188	1305	5601
189	1309	5583
190	1314	5565
191	1320	5555
192	1324	5538
193	1328	5521
194	1334	5508
195	1340	5499
196	1345	5485
197	1352	5476
198	1356	5459
199	1361	5446
200	1368	5438
201	1372	5421
202	1376	5406
203	1381	5390
204	1386	5377
205	1391	5362
